fit_slot,slot_label,player_id,player_name,team_or_org,primary_position,primary_position_abbrev,age,bat_side,pitch_hand,birth_country,unified_fit_score,weighted_component_score,categorical_risk_penalty,role_or_position_adjustment,sample_adjustment,age_adjustment,hard_gate,role_or_position_note,sample_note,age_note,data_mining_reason,structured_risk_check,market_realism_status,contract_control_bucket,medical_risk_bucket,sensitivity_band,ssg_fit_component,kbo_translation_component,market_realism_component,tool_process_component,surplus_access_component,failure_resilience_component,internal_prior_score,hitter_recent_pa,hitter_recent_woba,hitter_recent_bb_pct,hitter_recent_k_pct,hitter_recent_hardhit_rate,hitter_recent_barrel_rate,pitcher_milb_role_continuity_bucket,pitcher_milb_2026_ip,pitcher_milb_2026_games_started,pitcher_milb_2026_k9,pitcher_milb_2026_bb9,pitcher_milb_2026_hr9,unified_rank_within_slot
foreign_hitter,외인타자,640492.0,José Azócar,ATL,Outfielder,RF,30.0,Right,Right,Venezuela,69.067,67.067,0.5,4.0,-1.5,0.0,pass,OF 우선순위 충족,타격 표본 작음: recent PA 37,연령 정상권: 30세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 63.1; KBO translation 61.1; market 93.3; recent PA 37, wOBA 0.319",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top50_review_locked,63.11,61.086,93.342,53.748,71.745,61.912,60.012,37.0,0.3189189189189189,0.081081081081081,0.1081081081081081,0.2657657657657657,0.0,,,,,,,11
foreign_hitter,외인타자,595777.0,Jurickson Profar,ATL,Outfielder,LF,33.0,Switch,Right,Curacao,68.589,65.089,0.5,4.0,3.0,-3.0,pass,OF 우선순위 충족,타격 표본 안정: recent PA 371,연령 리스크: 33세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 55.2; KBO translation 68.9; market 87.3; recent PA 371, wOBA 0.356",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top50_review_locked,55.185,68.897,87.31,66.219,60.712,59.332,58.058,371.0,0.3563685636856368,0.1293800539083558,0.1590296495956873,0.4046692607003891,0.0739299610894941,,,,,,,12
foreign_hitter,외인타자,596146.0,Max Kepler,AZ,Outfielder,LF,33.0,Left,Left,Germany,65.484,61.984,0.5,4.0,3.0,-3.0,pass,OF 우선순위 충족,타격 표본 안정: recent PA 474,연령 리스크: 33세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 51.6; KBO translation 64.6; market 86.9; recent PA 474, wOBA 0.308",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top50_review_locked,51.578,64.589,86.868,58.623,60.27,58.021,54.007,474.0,0.3077991452991453,0.1012658227848101,0.1962025316455696,0.4495412844036697,0.1162079510703364,,,,,,,13
foreign_hitter,외인타자,647351.0,Abraham Toro,KC,Third Base,3B,29.0,Switch,Right,Canada,72.506,75.006,0.5,-5.0,3.0,0.0,position_hold,외야 우선순위 미충족: 코너/내야 보조 후보,타격 표본 안정: recent PA 284,연령 정상권: 29세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 73.6; KBO translation 76.7; market 93.8; recent PA 284, wOBA 0.305",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,73.625,76.704,93.75,64.592,67.152,62.908,67.541,284.0,0.3047703180212014,0.0492957746478873,0.1478873239436619,0.3423423423423423,0.045045045045045,,,,,,,14
foreign_hitter,외인타자,682927.0,Ronny Simon,PIT,Second Base,2B,26.0,Switch,Right,Dominican Republic,70.15,76.65,3.5,-5.0,1.0,1.0,position_hold,외야 우선순위 미충족: 코너/내야 보조 후보,타격 표본 보통: recent PA 88,연령 upside: 26세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 77.7; KBO translation 76.5; market 93.9; recent PA 88, wOBA 0.275",market_realism_status=contract_verification_needed (-0.5) | medical_risk_bucket=medical_history_watch (-3),contract_verification_needed,non40man_or_outrighted_medium_access,medical_history_watch,stable_top25_locked,77.714,76.456,93.92,73.183,67.322,58.766,69.638,88.0,0.2752873563218391,0.0909090909090909,0.1704545454545454,0.3692307692307692,0.0615384615384615,,,,,,,15
foreign_hitter,외인타자,666198.0,Carter Kieboom,PHI,Third Base,3B,28.0,Right,Right,USA,69.226,78.726,0.5,-5.0,-4.0,0.0,position_hold,외야 우선순위 미충족: 코너/내야 보조 후보,타격 표본 매우 작음: recent PA 8,연령 정상권: 28세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 77.8; KBO translation 83.8; market 94.0; recent PA 8, wOBA 0.225",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,77.779,83.788,93.954,69.693,67.062,64.68,71.866,8.0,0.225,0.0,0.125,0.2857142857142857,0.0,,,,,,,16
foreign_hitter,외인타자,628451.0,Andy Ibáñez,NYM,Second Base,2B,33.0,Right,Right,Cuba,67.744,73.244,0.5,-5.0,3.0,-3.0,position_hold,외야 우선순위 미충족: 코너/내야 보조 후보,타격 표본 안정: recent PA 219,연령 리스크: 33세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 71.0; KBO translation 74.1; market 93.6; recent PA 219, wOBA 0.280",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,70.965,74.113,93.648,62.995,67.05,62.07,65.583,219.0,0.2803725066089882,0.0593607305936072,0.1324200913242008,0.3490878799097976,0.041682093051956,,,,,,,17
foreign_hitter,외인타자,680911.0,Owen Miller,CHC,Second Base,2B,29.0,Right,Right,USA,67.202,76.702,0.5,-5.0,-4.0,0.0,position_hold,외야 우선순위 미충족: 코너/내야 보조 후보,타격 표본 매우 작음: recent PA 17,연령 정상권: 29세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 75.7; KBO translation 79.4; market 93.9; recent PA 17, wOBA 0.244",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,75.709,79.395,93.852,68.737,66.666,63.299,69.537,17.0,0.24375,0.1176470588235294,0.2352941176470588,0.2222222222222222,0.0,,,,,,,18
foreign_hitter,외인타자,650859.0,Luis Rengifo,MIL,Third Base,3B,29.0,Switch,Right,Venezuela,67.151,70.151,1.0,-5.0,3.0,0.0,position_hold,외야 우선순위 미충족: 코너/내야 보조 후보,타격 표본 안정: recent PA 745,연령 정상권: 29세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 59.3; KBO translation 80.9; market 84.3; recent PA 745, wOBA 0.283",market_realism_status=manual_contact_priority_locked (-2.5) | contract_access_bonus=recent_dfa_high_access (+1.5),manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,59.306,80.933,84.307,71.036,66.554,62.441,63.602,745.0,0.2827947655996606,0.0697986577181207,0.170469798657718,0.3348598798503159,0.0501771079592104,,,,,,,19
foreign_hitter,외인타자,621028.0,Kevin Newman,KC,Third Base,3B,32.0,Right,Right,USA,66.683,71.183,0.5,-5.0,1.0,0.0,position_hold,외야 우선순위 미충족: 코너/내야 보조 후보,타격 표본 보통: recent PA 116,연령 정상권: 32세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 66.4; KBO translation 75.2; market 93.5; recent PA 116, wOBA 0.244",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,66.426,75.156,93.478,54.199,66.88,61.842,62.635,116.0,0.2443478260869565,0.0086206896551724,0.1982758620689655,0.2934782608695652,0.0217391304347826,,,,,,,20
foreign_hitter,외인타자,676070.0,Jacob Amaya,AZ,Shortstop,SS,27.0,Right,Right,USA,64.344,66.844,0.5,-4.0,1.0,1.0,position_hold,외야 적합성 확인 필요,타격 표본 보통: recent PA 73,연령 upside: 27세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 59.6; KBO translation 70.9; market 93.2; recent PA 73, wOBA 0.124",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top50_review_locked,59.564,70.923,93.19,44.708,66.592,60.219,57.223,73.0,0.1243055555555555,0.0410958904109589,0.2191780821917808,0.2962962962962963,0.0,,,,,,,21
foreign_hitter,외인타자,667690.0,C.J. Stubbs,TOR,Catcher,C,29.0,Right,Right,USA,63.983,80.483,0.5,-12.0,-4.0,0.0,position_hold,외야 우선순위 미충족: 포수,타격 표본 매우 작음: recent PA 3,연령 정상권: 29세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 78.6; KBO translation 88.6; market 94.0; recent PA 3, wOBA 0.000",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,78.553,88.6,94.022,72.894,66.836,65.61,74.027,3.0,0.0,0.0,0.0,0.3333333333333333,0.0,,,,,,,22
foreign_hitter,외인타자,680837.0,Ryan Fitzgerald,LAD,Third Base,3B,32.0,Left,Right,USA,63.6,68.1,0.5,-5.0,1.0,0.0,position_hold,외야 우선순위 미충족: 코너/내야 보조 후보,타격 표본 보통: recent PA 53,연령 정상권: 32세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 66.3; KBO translation 63.1; market 93.4; recent PA 53, wOBA 0.335",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top50_review_locked,66.337,63.128,93.444,55.539,66.846,59.187,59.329,53.0,0.3346153846153846,0.1320754716981132,0.1509433962264151,0.3513513513513513,0.1351351351351351,,,,,,,23
foreign_hitter,외인타자,665839.0,Enmanuel Valdez,PIT,First Base,1B,27.0,Left,Right,Dominican Republic,62.895,69.395,3.5,-5.0,1.0,1.0,position_hold,외야 우선순위 미충족: 코너/내야 보조 후보,타격 표본 보통: recent PA 102,연령 upside: 27세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 69.8; KBO translation 62.4; market 93.6; recent PA 102, wOBA 0.292",market_realism_status=contract_verification_needed (-0.5) | medical_risk_bucket=medical_history_watch (-3),contract_verification_needed,non40man_or_outrighted_medium_access,medical_history_watch,stable_top25_locked,69.792,62.358,93.614,64.248,67.016,54.866,61.094,102.0,0.292156862745098,0.1078431372549019,0.1568627450980392,0.4266666666666667,0.08,,,,,,,24
foreign_hitter,외인타자,683079.0,Omar Martinez,LAA,Catcher,C,24.0,Left,Right,Venezuela,62.635,78.635,1.0,-12.0,-4.0,1.0,position_hold,외야 우선순위 미충족: 포수,타격 표본 매우 작음: recent PA 3,연령 upside: 24세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 73.6; KBO translation 82.7; market 99.6; recent PA 3, wOBA 0.300",market_realism_status=manual_contact_priority_locked (-2.5) | contract_access_bonus=recent_dfa_high_access (+1.5),manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,73.594,82.651,99.603,59.601,80.162,68.538,70.072,3.0,0.3,0.0,0.3333333333333333,0.5,0.0,,,,,,,25
foreign_hitter,외인타자,689172.0,Brett Wisely,ATL,Second Base,2B,27.0,Left,Right,USA,62.199,65.699,0.5,-5.0,1.0,1.0,position_hold,외야 우선순위 미충족: 코너/내야 보조 후보,타격 표본 보통: recent PA 63,연령 upside: 27세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 63.8; KBO translation 57.8; market 93.4; recent PA 63, wOBA 0.287",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top50_review_locked,63.788,57.798,93.41,54.243,66.812,57.757,56.679,63.0,0.2868852459016393,0.1111111111111111,0.2222222222222222,0.3095238095238095,0.0714285714285714,,,,,,,26
foreign_hitter,외인타자,663967.0,César Salazar,HOU,Catcher,C,30.0,Left,Right,Mexico,62.108,76.608,1.0,-12.0,-1.5,0.0,position_hold,외야 우선순위 미충족: 포수,타격 표본 작음: recent PA 38,연령 정상권: 30세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 73.5; KBO translation 73.8; market 98.4; recent PA 38, wOBA 0.224",market_realism_status=manual_contact_priority_locked (-2.5) | contract_access_bonus=recent_dfa_high_access (+1.5),manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,73.538,73.789,98.427,68.024,81.764,63.306,69.295,38.0,0.2236842105263157,0.131578947368421,0.131578947368421,0.2695374800637958,0.0,,,,,,,27
foreign_hitter,외인타자,680716.0,Jonathan Ornelas,NYY,Shortstop,SS,26.0,Right,Right,USA,61.591,69.091,0.5,-4.0,-4.0,1.0,position_hold,외야 적합성 확인 필요,타격 표본 매우 작음: recent PA 10,연령 upside: 26세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 63.7; KBO translation 73.3; market 93.4; recent PA 10, wOBA 0.250",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,63.737,73.321,93.376,47.3,66.19,60.756,59.511,10.0,0.25,0.1,0.3,0.3333333333333333,0.0,,,,,,,28
foreign_hitter,외인타자,606115.0,Orlando Arcia,MIN,Shortstop,SS,31.0,Right,Right,Venezuela,61.126,63.126,1.0,-4.0,3.0,0.0,position_hold,외야 적합성 확인 필요,타격 표본 안정: recent PA 256,연령 정상권: 31세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 46.9; KBO translation 74.0; market 84.9; recent PA 256, wOBA 0.263",market_realism_status=manual_contact_priority_locked (-2.5) | contract_access_bonus=recent_dfa_high_access (+1.5),manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,stable_top50_review_locked,46.853,74.015,84.861,52.917,66.597,64.766,54.585,256.0,0.2625018425707547,0.0468749999999999,0.2070312499999999,0.3340903700189753,0.02639794829222,,,,,,,29
foreign_hitter,외인타자,676480.0,José Barrero,BAL,Shortstop,SS,28.0,Right,Right,Cuba,60.772,66.772,0.5,-4.0,-1.5,0.0,position_hold,외야 적합성 확인 필요,타격 표본 작음: recent PA 31,연령 정상권: 28세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 60.7; KBO translation 69.5; market 93.3; recent PA 31, wOBA 0.208",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top50_review_locked,60.66,69.52,93.274,43.946,66.382,59.815,56.871,31.0,0.2080645161290322,0.032258064516129,0.2903225806451613,0.2,0.05,,,,,,,30
foreign_hitter,외인타자,641820.0,Trey Mancini,LAA,First Base,1B,34.0,Right,Right,USA,60.578,71.578,-1.0,-5.0,-4.0,-3.0,position_hold,외야 우선순위 미충족: 코너/내야 보조 후보,타격 표본 매우 작음: recent PA 7,연령 리스크: 34세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 62.3; KBO translation 79.6; market 83.7; recent PA 7, wOBA 0.386",market_realism_status=contract_verification_needed (-0.5) | contract_access_bonus=recent_dfa_high_access (+1.5),contract_verification_needed,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,62.314,79.634,83.706,80.012,62.51,66.963,66.628,7.0,0.3857142857142857,0.0,0.1428571428571428,0.6666666666666666,0.1666666666666666,,,,,,,31
foreign_hitter,외인타자,681962.0,Vinny Capra,BOS,Third Base,3B,29.0,Right,Right,USA,59.87,64.37,0.5,-5.0,1.0,0.0,position_hold,외야 우선순위 미충족: 코너/내야 보조 후보,타격 표본 보통: recent PA 105,연령 정상권: 29세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 56.8; KBO translation 67.7; market 92.8; recent PA 105, wOBA 0.176",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top50_review_locked,56.776,67.707,92.833,37.586,66.235,59.231,53.871,105.0,0.1762376237623762,0.0285714285714285,0.238095238095238,0.3378378378378378,0.027027027027027,,,,,,,32
foreign_hitter,외인타자,668845.0,Aaron Schunk,ATL,Shortstop,SS,28.0,Right,Right,USA,58.864,64.864,0.5,-4.0,-1.5,0.0,position_hold,외야 적합성 확인 필요,타격 표본 작음: recent PA 33,연령 정상권: 28세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 58.8; KBO translation 65.4; market 93.1; recent PA 33, wOBA 0.186",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top50_review_locked,58.767,65.366,93.071,42.599,66.179,58.71,54.724,33.0,0.1859375,0.0,0.303030303030303,0.217391304347826,0.0434782608695652,,,,,,,33
foreign_hitter,외인타자,660644.0,Vidal Bruján,NYM,Shortstop,SS,28.0,Switch,Right,Dominican Republic,57.817,61.817,1.0,-4.0,1.0,0.0,position_hold,외야 적합성 확인 필요,타격 표본 보통: recent PA 105,연령 정상권: 28세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 45.9; KBO translation 71.1; market 84.8; recent PA 105, wOBA 0.278",market_realism_status=manual_contact_priority_locked (-2.5) | contract_access_bonus=recent_dfa_high_access (+1.5),manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,stable_top50_review_locked,45.865,71.137,84.827,54.622,68.163,59.213,53.431,105.0,0.2783597883597883,0.0666666666666666,0.1999999999999999,0.3481797362394377,0.0,,,,,,,34
foreign_hitter,외인타자,640459.0,Brian Navarreto,MIA,Catcher,C,31.0,Right,Right,Puerto Rico,53.154,69.654,0.5,-12.0,-4.0,0.0,position_hold,외야 우선순위 미충족: 포수,타격 표본 매우 작음: recent PA 15,연령 정상권: 31세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 67.6; KBO translation 67.7; market 93.5; recent PA 15, wOBA 0.360",market_realism_status=contract_verification_needed (-0.5),contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,67.587,67.7,93.512,54.907,66.62,60.113,60.806,15.0,0.36,0.0,0.2,0.6666666666666666,0.25,,,,,,,35
foreign_hitter,외인타자,687231.0,Darell Hernaiz,ATH,Shortstop,SS,24.0,Right,Right,Puerto Rico,51.228,64.228,13.0,-4.0,3.0,1.0,position_hold,외야 적합성 확인 필요,타격 표본 안정: recent PA 331,연령 upside: 24세,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 59.0; KBO translation 77.2; market 75.4; recent PA 331, wOBA 0.291",market_realism_status=contract_blocker_watch (-7) | contract_access_risk=40man_nonactive_contract_blocker (-6),contract_blocker_watch,40man_nonactive_contract_blocker,no_public_medical_signal_from_roster_transactions,stable_top50_review_locked,58.992,77.214,75.421,67.753,43.955,49.499,53.76,331.0,0.290508066958218,0.0906344410876132,0.1419939577039275,0.2794779555221203,0.0232493832721196,,,,,,,36
